Setpoint,Flow,Flow_prev,Error,DeltaP,Valve_pos,Control_signal
1.2,0.0900140672103708,0,1.10998593278963,99.9583624557734,0.43,1
1.2,0.181695061573496,0.0900140672103708,1.0183049384265,100.026703141697,0.4585,1
1.2,0.273107402692018,0.181695061573496,0.926892597307982,99.7793178980342,0.485575,1
1.2,0.365366456538615,0.273107402692018,0.834633543461385,99.729617105759,0.51129625,1
1.2,0.45805989968467,0.365366456538615,0.74194010031533,99.3894719864816,0.5357314375,1
1.2,0.552430709651563,0.45805989968467,0.647569290348437,99.0007045465783,0.555998405602032,0.941070799540648
1.2,0.643845486501352,0.552430709651563,0.556154513498648,98.9095362838309,0.570953348542901,0.8550972644194
1.2,0.736397654247949,0.643845486501352,0.463602345752051,98.7971406271393,0.580506184191014,0.762010061505161
1.2,0.822856573759885,0.736397654247949,0.377143426240115,98.7325369749828,0.585300460944352,0.676391719257773
1.2,0.905390711387731,0.822856573759885,0.294609288612269,98.7867177416887,0.585590313726679,0.591097516590894
1.2,0.980732933133041,0.905390711387731,0.219267066866959,99.0011575494902,0.581963472595968,0.513053491112469
1.2,1.04812496619863,0.980732933133041,0.151875033801373,99.2833859825013,0.574976956322454,0.442233147125682
1.2,1.10527991636136,1.04812496619863,0.0947200836386382,99.3629055009694,0.5653558360927,0.382554551727371
1.2,1.15403803851063,1.10527991636136,0.0459619614893692,99.4505891759831,0.553592129168793,0.330081697614556
1.2,1.19221356689887,1.15403803851063,0.00778643310112614,99.6249546430178,0.540406213598014,0.289873817753222
1.2,1.22225784700664,1.19221356689887,-0.0222578470066381,100.078579254207,0.526235702512307,0.256995991883879
1.2,1.24475061692284,1.22225784700664,-0.0447506169228393,100.537874915702,0.511523437306857,0.231990398403306
1.2,1.2581277016546,1.24475061692284,-0.0581277016546005,101.152523188831,0.496855797004076,0.218170631251228
1.2,1.26636596200259,1.2581277016546,-0.0663659620025934,101.674498944825,0.482422981781143,0.208199492545417
1.2,1.26752761142202,1.26636596200259,-0.0675276114220176,101.993574271646,0.468683968404561,0.207642714249512
1.2,1.26468629736164,1.26752761142202,-0.0646862973616402,102.378304038226,0.455773086032703,0.2104663209674
1.2,1.25891901433024,1.26468629736164,-0.0589190143302381,102.628193804182,0.443809095956937,0.216493284517385
1.2,1.24937492918149,1.25891901433024,-0.0493749291814913,102.748288164142,0.433011620688455,0.227859590587294
1.2,1.23563491479648,1.24937492918149,-0.0356349147964776,102.7830554574,0.423612048447812,0.245020175875585
1.2,1.22304066175939,1.23563491479648,-0.0230406617593895,102.754578150343,0.415363384644209,0.258638772375752
1.2,1.20914273427369,1.22304066175939,-0.00914273427369117,102.947836857343,0.408375336072596,0.275602413211948
1.2,1.19448080192449,1.20914273427369,0.00551919807551182,103.609568531713,0.402646544388254,0.293799502385764
1.2,1.178507320491,1.19448080192449,0.0214926795089969,104.398587788793,0.398238375260264,0.314483161828447
1.2,1.16269022939784,1.178507320491,0.0373097706021575,105.084929211472,0.395070349836959,0.334877866794164
1.2,1.14951077404518,1.16269022939784,0.050489225954824,105.864236441095,0.392886530564376,0.35139396438531
1.2,1.13750142114195,1.14951077404518,0.0624985788580457,106.624200619932,0.391628208026096,0.367720079798775
1.2,1.12442132767486,1.13750142114195,0.075578672325135,107.14113459568,0.391395533081502,0.386974709134221
1.2,1.11451066645185,1.12442132767486,0.085489333548147,107.677326095391,0.391860874418513,0.400702359821723
1.2,1.10396063568006,1.11451066645185,0.0960393643199371,108.39084265627,0.393144013502341,0.417523656095058
1.2,1.09644250716566,1.10396063568006,0.103557492834342,108.998948085746,0.394945400772075,0.429171758897024
1.2,1.09047091376108,1.09644250716566,0.109529086238919,109.486109187872,0.397195409077329,0.43994556687716
1.2,1.08498817261766,1.09047091376108,0.115011827382337,109.968412274214,0.399879683784161,0.450880903213976
1.2,1.08111450956257,1.08498817261766,0.11888549043743,109.85810122511,0.402859708567624,0.459480179453422
1.2,1.07737146936193,1.08111450956257,0.122628530638069,109.820400121748,0.406157306013867,0.468811657492483
1.2,1.07575789345695,1.07737146936193,0.124242106543053,110.120508500023,0.409582085747792,0.474652900692359
1.2,1.07655695633194,1.07575789345695,0.123443043668065,110.567108721914,0.412974252840358,0.47742542759911
1.2,1.07729869222589,1.07655695633194,0.122701307774109,110.473639187249,0.416399143214732,0.481472060327844
1.2,1.07900547806723,1.07729869222589,0.120994521932769,110.092210257053,0.419768244715088,0.483781173221855
